A combination of the two tables
https://www.who.int/childgrowth/standards/wfl_boys_z_exp.txt and
https://www.who.int/childgrowth/standards/wfh_boys_z_exp.txt

Height SD3neg  SD2neg  SD1neg  SD0	   SD1	   SD2	   SD3
45.0,  1.877,  2.043,  2.230,  2.441,  2.680,  2.951,  3.261
45.5,  1.942,  2.114,  2.307,  2.524,  2.771,  3.050,  3.37
46.0,  2.008,  2.185,  2.384,  2.608,  2.861,  3.149,  3.477
46.5,  2.074,  2.256,  2.461,  2.691,  2.952,  3.248,  3.585
47.0,  2.141,  2.328,  2.539,  2.776,  3.043,  3.347,  3.694
47.5,  2.208,  2.401,  2.617,  2.861,  3.136,  3.448,  3.804
48.0,  2.277,  2.476,  2.698,  2.948,  3.231,  3.551,  3.916
48.5,  2.349,  2.552,  2.781,  3.038,  3.328,  3.657,  4.031
49.0,  2.422,  2.632,  2.867,  3.131,  3.429,  3.766,  4.151
49.5,  2.499,  2.715,  2.956,  3.228,  3.534,  3.881,  4.275
50.0,  2.579,  2.801,  3.049,  3.328,  3.642,  3.999,  4.403
50.5,  2.661,  2.889,  3.144,  3.431,  3.754,  4.120,  4.536
51.0,  2.746,  2.981,  3.243,  3.538,  3.870,  4.245,  4.672
51.5,  2.834,  3.075,  3.345,  3.648,  3.989,  4.375,  4.813
52.0,  2.925,  3.173,  3.451,  3.762,  4.113,  4.509,  4.958
52.5,  3.020,  3.276,  3.561,  3.881,  4.242,  4.649,  5.111
53.0,  3.120,  3.383,  3.677,  4.006,  4.377,  4.795,  5.27
53.5,  3.223,  3.494,  3.796,  4.135,  4.517,  4.947,  5.434
54.0,  3.330,  3.609,  3.921,  4.269,  4.661,  5.104,  5.605
54.5,  3.440,  3.727,  4.048,  4.407,  4.810,  5.264,  5.779
55.0,  3.553,  3.848,  4.178,  4.547,  4.961,  5.428,  5.957
55.5,  3.667,  3.971,  4.310,  4.689,  5.115,  5.595,  6.138
56.0,  3.783,  4.095,  4.444,  4.834,  5.271,  5.764,  6.322
56.5,  3.900,  4.221,  4.579,  4.980,  5.429,  5.935,  6.506
57.0,  4.017,  4.347,  4.715,  5.126,  5.587,  6.106,  6.692
57.5,  4.135,  4.474,  4.851,  5.272,  5.745,  6.276,  6.877
58.0,  4.252,  4.599,  4.986,  5.418,  5.902,  6.447,  7.061
58.5,  4.369,  4.725,  5.121,  5.563,  6.059,  6.616,  7.245
59.0,  4.485,  4.849,  5.255,  5.707,  6.214,  6.784,  7.427
59.5,  4.600,  4.973,  5.387,  5.850,  6.368,  6.951,  7.607
60.0,  4.713,  5.094,  5.518,  5.991,  6.520,  7.115,  7.785
60.5,  4.824,  5.213,  5.646,  6.128,  6.669,  7.275,  7.959
61.0,  4.932,  5.329,  5.771,  6.263,  6.814,  7.433,  8.13
61.5,  5.039,  5.443,  5.893,  6.395,  6.957,  7.587,  8.297
62.0,  5.143,  5.555,  6.014,  6.525,  7.097,  7.739,  8.462
62.5,  5.245,  5.665,  6.132,  6.653,  7.235,  7.888,  8.624
63.0,  5.346,  5.774,  6.249,  6.779,  7.371,  8.035,  8.784
63.5,  5.445,  5.880,  6.364,  6.903,  7.505,  8.181,  8.942
64.0,  5.544,  5.986,  6.478,  7.026,  7.638,  8.325,  9.098
64.5,  5.640,  6.090,  6.590,  7.147,  7.769,  8.467,  9.253
65.0,  5.736,  6.193,  6.701,  7.267,  7.899,  8.608,  9.406
65.5,  5.830,  6.295,  6.811,  7.385,  8.028,  8.748,  9.558
